src_port,dst_port,payload_size,packet_count,duration_ms
62128,443,1533,3,1242.5150593249823
54432,443,1855,1,506.0288796266854
50135,443,2430,7,102.3321524480665
56213,443,1265,2,86.32492168696332
50987,80,772,2,81.09677305628026
65420,443,2081,4,1149.0837271171101
53462,443,1634,4,1043.9600164125177
59289,53,65,2,224.70087053659543
49709,443,1331,4,562.2299410259287
54600,443,1341,4,493.65552581417154
62375,80,964,1,39.84024742054348
51550,443,1274,2,54.70603813754995
55592,443,1278,4,241.10236047977804
62998,443,1339,2,75.66242287705765
58567,80,787,3,194.29276335522033
52764,443,1526,4,31.66890311474126
64772,443,1289,5,460.88919831316457
54181,80,818,2,131.89348404469163
50767,80,873,2,700.6584877147435
64773,443,1290,2,41.421933894021514
62331,443,1383,4,47.49973714674714
65299,443,1688,5,355.5697432180596
59032,443,1441,3,120.66528716080195
60040,53,59,1,740.8329985013162
59740,53,57,2,239.1412280530002
63057,443,1337,2,102.79533419217684
58043,80,666,3,216.31576065015332
56800,443,1843,4,461.19664137895
55227,53,66,1,104.82333061976327
61882,443,1262,2,489.7233292374144
61803,443,1103,1,241.37241523347515
52387,80,655,2,57.03138164819187
51035,443,1683,4,649.5509440105749
53363,443,1829,3,125.00571266094276
55345,443,1381,3,106.90897476005182
51621,443,1649,4,25.750791192007387
64513,53,60,1,307.2789708380857
59261,443,2046,4,228.17884989214056
65325,443,2053,5,274.97693058713077
58751,443,1223,3,353.34361708718535
60014,443,1231,3,434.8134168670129
58491,443,1470,4,292.016995173273
59171,443,1752,4,1223.629924441558
54071,443,1091,3,281.9510008929499
60170,443,1517,2,72.78810519346833
64464,443,1469,2,251.07043078920302
63960,443,1163,2,321.8575601857612
50934,443,1352,3,1131.7396294965815
53506,443,1496,5,182.16850343635215
54891,443,1439,3,282.11022167138947
56993,443,1303,2,121.47125910768098
60451,443,1551,3,159.2172456703879
65201,443,1372,3,205.36591547976533
53782,53,63,2,133.43132854264164
51300,80,558,4,108.61288845184542
60959,443,1578,3,136.32672471488635
59982,443,1186,5,188.4920495795831
58524,80,948,1,338.12251049329393
52937,443,1495,3,321.3631263979065
64409,53,67,2,113.14354387153028
64461,443,1497,4,288.02336762568865
61295,443,1944,4,861.8695085957299
61952,443,852,3,143.26333382615337
61386,53,75,2,274.13859062683423
63185,443,1341,2,178.97547647150634
59306,443,1898,3,443.44825534522545
61141,443,1383,3,348.880107829716
60753,80,926,2,600.3964594976268
57826,443,1638,3,82.36115735717941
63536,443,1394,3,938.3003427214888
59242,80,983,3,82.32200119513507
60394,443,1256,2,431.98231005230787
51910,443,1349,3,1019.6456044240746
62272,443,2167,7,97.93001624578488
60664,443,1281,2,56.497839336246706
64665,22,380,2,129.04967928832005
54070,443,1203,3,25.02738077868382
53795,53,53,2,256.32797803989496
52993,80,811,2,58.454118200520064
57970,443,1688,3,49.87074763516444
63062,53,64,1,282.8909875680432
54819,80,538,3,640.0960697574902
63293,80,887,4,37.82406426280136
58468,22,461,2,99.30769609950016
61083,80,953,4,72.45065251407884
56214,22,497,1,129.7894470505277
52449,53,69,2,318.8927781639847
61226,80,933,2,77.1863373338741
54136,80,828,2,188.6394203042461
53359,53,58,1,888.1375318038492
62955,443,1336,3,143.47313098975067
56531,80,891,4,168.66972816388545
51639,443,1718,3,218.96548821025604
64807,443,1230,3,17.048043031258437
56829,443,1553,5,144.86791843006293
57801,443,1135,3,138.8965373298336
57482,443,1286,5,33.56148840334443
64950,443,1356,2,145.8278735543655
53852,80,762,2,302.1053346605316
60955,443,1701,5,142.320303440256
61140,443,1952,1,169.15413683433425
59949,443,1538,5,11.874669326041806
60846,443,1095,3,98.40345357849266
57254,443,1799,5,1775.168455171614
60639,443,1316,5,2255.992723161957
60817,53,52,1,532.6633135765296
65159,443,1271,3,204.0960893123894
62927,443,1101,2,548.563571581887
58790,443,1695,2,87.27640328272446
57597,53,60,1,46.02130757021684
64682,443,1793,5,127.87420517172251
51907,443,1390,2,91.98672486131915
55848,443,1384,3,160.6918048305993
59631,22,540,2,115.3657111946025
50278,80,726,1,115.40355093708415
60283,443,1568,4,127.26549284203988
57396,80,1008,2,148.3090475644508
63371,443,1271,1,705.1021132318135
50097,443,1569,4,115.06525796309921
54447,80,651,2,285.6814142222219
50240,443,1701,4,382.9846820734318
52249,443,1076,3,167.35472262230894
64479,80,886,3,24.027406222708805
52377,443,1768,4,1046.8777252179661
58647,80,675,2,241.2291899909682
62937,443,1312,1,406.62531337416067
56731,80,737,3,497.31347529594854
53713,443,1444,4,152.03591397146914
62301,443,1506,5,79.30307510399597
59018,443,1675,5,546.8051459348935
55546,443,1866,4,796.255062721219
54830,443,1591,5,427.19498869928356
63070,53,50,1,255.80229087336016
56323,443,1386,2,338.5587243575809
56183,443,881,2,209.57469140579764
59551,443,1399,2,132.39540558334045
60291,443,1176,2,64.73737764727836
55206,443,1330,4,177.44954748218373
64931,443,1126,3,504.26990819323845
52676,80,830,3,388.7556399838892
59141,443,1633,5,560.1790053619249
55063,443,1492,4,147.53381074284383
53960,443,1345,4,42.53734042216708
61734,443,1661,4,34.638978058144524
52658,443,2071,4,465.01935912024055
53697,443,1579,5,154.2046376759384
62562,80,1024,3,38.72869693114283
62493,443,1243,4,291.72842627586243
63436,443,1579,2,195.68733380026106
58205,443,1201,3,260.0069598694373
61158,443,946,1,318.1414008650433
56003,80,485,2,136.05400267953303
56730,53,62,1,224.6622195449042
53356,443,881,3,404.69193334119853
51861,443,1504,4,65.50754070594756
49154,53,69,1,321.6192492542952
53897,53,87,2,48.97174309757471
61813,80,700,1,250.3434543162063
54870,443,1467,2,86.46040108218669
50394,443,1365,4,321.57163528303875
52996,443,1196,4,224.24039107512314
54977,80,772,2,121.39807579076312
51008,53,65,2,888.8143461037295
59361,53,71,4,118.93857000526482
60032,53,79,4,74.01117407301452
64752,443,1419,3,91.45842204694577
62377,443,1467,3,40.74283690606149
58250,80,962,2,319.63906685379885
60278,443,1511,2,217.44807817383045
60882,443,1722,5,290.1876581860707
59615,443,2147,6,102.42054020362849
58936,443,1340,4,137.27099740963445
62409,443,1420,3,103.69441506166623
51195,22,542,1,101.82467853797371
59564,22,522,4,339.85873389277396
58191,443,932,2,115.7852632618994
64236,80,765,1,327.67822571717323
53172,443,1286,4,148.9132460418443
64404,443,1239,2,316.03099377397007
55871,443,1850,4,30.591789801253245
64461,443,1716,2,361.3041961124366
65350,443,1357,4,105.67739014093222
60808,443,1016,4,202.29545694932662
53958,443,1425,3,184.10547196429488
60220,443,1102,1,504.53616074102854
59948,443,1423,3,84.50824805731222
53059,443,1418,3,268.4440146880154
65379,443,1883,4,596.0576467281412
64171,80,771,3,65.79660189879853
49410,443,2020,2,511.1631391605349
57029,443,1454,4,50.5857001173327
63434,443,1140,4,195.12306119608942
65195,443,1866,1,190.8114246291443
56440,53,44,1,252.1633685437491
50989,80,973,3,181.10565320707678
57672,443,1263,4,877.3820115975162
60836,80,564,3,73.03355815672751
58027,443,1459,1,173.48820834932275
59520,443,1781,6,295.2265244276353
61605,443,1517,1,133.61698400633006
61630,80,644,1,350.7240046151433
65153,443,1845,4,114.53784205324095
58424,443,994,4,1298.5452523220067
60634,443,1543,4,110.525398892274
59088,443,1442,5,235.46361574321892
61110,80,586,2,161.49115078195288
49445,443,1455,3,134.19536135545388
50716,443,2159,3,209.95990662830417
54799,443,1494,4,77.23967023123971
62986,443,1722,4,75.63747284259999
64488,443,1685,5,1188.6088806640473
49435,443,1676,3,253.84755666811944
61713,80,494,4,313.51896485503727
58313,443,1322,3,927.5407092037534
59089,80,736,4,273.2379634500263
64516,443,1753,4,232.0898121922286
60612,443,1546,4,695.7076065113328
52416,443,1747,3,103.5838384508963
54425,443,1693,3,190.03635295366837
56804,443,1503,3,44.34608177898715
53380,443,1575,3,191.59612423694128
62372,443,1629,2,1186.5898630689735
58880,53,69,1,125.95342527141878
52467,443,1394,4,132.64526783258503
56759,53,50,1,104.24416666350571
50892,443,1391,3,261.77377178511614
56795,443,1060,3,400.88913803333804
49282,80,989,3,464.8338149865122
50544,443,1372,3,222.11121431331702
53745,443,1354,4,437.44638053396216
64709,443,1371,5,425.3562495591041
62044,443,1726,3,268.3571398913933
55494,443,1801,3,82.21298718862234
56642,443,1631,4,529.1438330981867
64565,443,1177,2,396.9588582204173
56576,22,521,4,347.50074789409746
54415,443,1497,4,335.1198009357526
59294,443,1712,4,448.9821382036883
61483,80,782,2,64.38205748252707
55831,443,1599,4,1528.0432420523666
53409,443,1676,3,675.393481448271
64402,53,61,2,1747.0739001421996
52494,443,1834,3,337.46257821182036
56023,443,1744,3,47.88635172103583
59705,443,1379,4,173.23885876116273
51374,443,1192,2,78.27950420318075
52266,443,677,2,67.78483673508339
61916,443,1651,2,557.6092277508945
54875,443,1144,1,327.4193457025755
50558,53,71,1,61.95773363970643
62004,443,1502,3,1589.5674830376504
49765,443,1271,4,1517.0854043794288
51367,80,804,3,982.7711866086643
55764,443,1562,2,56.77052176900055
56442,443,1517,4,170.02617619158804
50183,443,1205,2,115.09731206360054
59172,443,1806,3,242.69788235224522
63915,443,1394,4,1094.1530457935223
60216,443,1795,2,1341.3429832822856
65381,53,66,1,122.23538526419898
62928,443,1500,4,741.7259370532178
64534,443,1027,3,43.20781273300047
60440,53,64,1,1372.8854719461128
65492,80,757,3,301.4719006681033
62131,443,1756,4,190.68818372070973
57150,443,1209,1,65.26381252909682
61738,443,1651,2,133.29527639686378
53692,443,1400,2,89.87291767480929
60712,443,1868,4,254.17599199369806
56320,443,1355,3,377.6459189061465
59142,443,1054,4,117.53587048928219
59609,443,1726,4,427.3960601002899
51451,443,972,3,1232.9256071953798
50763,443,1309,4,669.7387997956096
58720,443,1059,3,283.9150881550131
61564,22,696,2,101.18483800532445
56068,53,49,1,226.91175901331187
65138,22,511,2,350.84668699505033
49972,80,792,2,58.89928839417765
54803,53,63,1,171.40149008451633
55837,443,1140,2,150.66144377833768
56304,443,917,2,92.50812682036285
59182,443,1981,4,131.3395952028362
62189,443,1435,4,271.49059996770126
60509,443,1451,3,90.87190085915405
63963,22,541,3,167.31565337870083
50067,443,1712,4,150.11687813940787
59485,443,1318,3,129.8139165395915
62820,443,1514,4,747.5438664840435
64767,443,1547,3,37.65109051996444
54109,443,1782,3,581.6883884409025
56913,53,52,3,323.70021937416743
59804,53,76,3,619.8722347580717
50270,53,39,1,457.134931470237
52294,443,1319,4,145.78493849900332
57951,443,1393,5,83.29240949157536
59364,80,1007,3,145.26799665652874
60222,443,1590,3,281.2293918782263
61710,443,1669,4,102.11376882415576
61049,53,63,1,86.68378197435655
56113,443,1852,3,646.5723265965227
59523,53,65,2,2108.078523165728
59391,443,1237,5,106.71266643048129
63130,443,1368,3,137.7874515891872
56017,443,1724,3,358.6039419016808
62910,443,1259,2,217.26689567119863
54043,443,1582,5,258.45553559009056
56106,443,1191,3,135.1909278557304
50275,443,1565,3,593.7304680725066
51363,80,780,4,963.0818306075254
62058,443,1751,4,94.44135924688801
61039,80,711,3,278.88404598346784
58037,80,469,3,176.56658346106363
52804,443,1430,2,209.07105402268732
52285,443,1901,3,74.61351686811753
51513,443,1478,2,145.3308273907897
57334,443,1880,4,20.510530358196757
61149,443,1354,3,281.56227443549807
55922,443,1342,2,232.9943594084213
57546,53,77,1,397.5575070360724
62616,80,692,2,1510.9282465205392
61503,443,1454,4,98.74613090657675
63500,80,864,1,40.0332991450359
50198,443,1612,4,473.86971811107736
65259,443,1772,4,288.7156104591997
58380,53,71,2,110.01768263339395
64120,443,1811,4,366.43277482690917
54468,80,771,4,325.84580457950534
53118,443,1166,1,482.92289010451026
51987,443,1070,3,172.74246913538875
62321,443,1357,1,174.77361921782858
61569,80,592,3,533.933229090057
64816,443,872,3,152.2372225419143
56986,443,1197,3,72.0509270490443
53551,53,69,1,149.38696619797048
65436,443,1741,4,243.51354293020594
52093,443,1354,4,130.04469388578457
58678,22,547,1,627.8775497838968
54100,443,1199,2,125.75446751565697
56663,80,435,2,224.57447931261305
59569,53,50,1,208.4735087619054
60606,443,1461,5,53.79415804222821
57856,443,1649,3,128.62259656075372
52336,443,1173,4,125.78520823354701
60917,53,60,1,134.46637454785517
51969,443,1488,4,139.20235520921548
56775,443,1208,4,130.598125578688
50132,443,1741,4,1054.0095509044822
52076,80,341,2,53.8495719684974
57569,443,1996,4,250.74755730974
64767,443,1305,3,280.9359490994882
62038,443,965,4,115.1666121785477
54213,80,569,3,47.818878109426386
64931,80,1075,3,34.638316595867394
50700,443,1249,1,110.23847458143631
65069,443,1132,3,123.68647735677132
52365,443,1448,5,63.72543150359691
55319,443,1015,3,447.66275636646503
57573,443,1160,2,693.3589087673225
53846,22,422,3,411.8779291212564
56727,443,1096,4,351.6948440138163
59166,443,1515,4,306.96848439918597
56287,443,1972,4,1608.405415320343
49292,443,1522,3,57.88120864095892
54753,80,806,2,487.26945653022176
52260,443,1385,2,131.35464517900053
57002,443,1412,3,170.3035336474349
54469,80,1062,2,72.24793844367085
55010,443,1340,5,193.18408368798595
55323,443,1570,4,865.0824437856468
58185,443,1431,2,434.220431080525
62123,443,2009,2,218.60987372549175
50944,443,1229,4,1747.8820049866551
51409,443,1686,5,277.6214402969552
52077,80,647,3,220.66371480074423
62318,443,1635,3,179.14506221977175
58700,443,1682,4,98.11782270035755
63365,80,676,2,326.0418892941162
53634,443,1145,4,354.5028252198526
58010,80,628,1,348.3492152169642
58061,443,1382,5,202.30651850646333
58960,443,1711,5,118.84628358856554
56637,80,808,3,185.4460343865357
51517,443,1018,3,265.86666890492427
58490,443,1237,2,108.0760331630995
51610,443,1358,5,361.5981690669657
63700,53,72,2,464.8756467949952
59612,443,1662,4,129.25286832814675
54309,443,1282,3,102.73776063495308
65101,53,54,2,69.97090882219084
59853,443,1202,1,824.9276767495791
53818,53,51,1,196.1079689722396
61560,443,1416,3,65.58356990055853
63821,53,78,2,534.3370260448224
64228,53,67,1,57.484947515225805
55716,80,820,3,298.332412583671
50025,443,1530,3,82.23532795966796
65386,443,1503,4,1345.8687583368878
60933,22,607,3,223.55522516485775
63700,443,1975,4,384.3486000760138
51917,80,480,4,697.5023095332007
51617,443,1691,4,59.17195367017217
54483,443,1833,4,505.40718215801974
50437,443,1717,2,239.91839316360742
51357,80,451,4,102.2275316360996
51468,443,1745,1,106.77342063345594
59598,443,1481,4,531.9258051378888
57545,443,1793,5,397.7709358784268
60791,443,1167,2,203.00970401094662
61674,443,1404,4,203.5029993373246
62414,80,742,2,373.32362803861406
64315,443,1741,3,282.9729634855134
60966,443,1412,3,338.4898350936776
52288,443,1560,3,309.63138719628347
51498,53,59,3,639.3328747572313
63107,443,1597,5,166.62747777819988
54399,53,52,1,200.2641340263432
58072,80,705,3,165.03937408910025
56578,443,1573,1,163.26112119694383
51683,443,1288,3,212.83355597241328
55634,443,1774,3,8.655523933399762
51127,443,1442,4,45.41509939487173
61551,443,862,2,52.94064202138607
57505,443,1339,5,505.7571162637191
53512,443,2090,6,128.41494278571233
59448,443,1619,3,136.28339587445024
58662,80,917,3,32.96629193927715
60318,443,1573,2,441.0669956397196
65016,443,1875,3,109.34231744480898
52122,53,55,1,49.274219804010926
50187,443,948,3,157.2128860005571
52732,443,1595,4,1684.0486573165367
54077,443,2169,5,408.65274467653774
53040,443,2092,4,90.33781898692455
61338,443,1292,3,59.50124624988572
52268,80,768,4,24.277319927664482
65092,80,804,3,303.6331949005439
59424,443,1093,4,871.6964359719211
49919,443,1300,3,465.2937608265407
57052,80,1068,4,574.4364805223838
63821,80,956,2,505.8326778451961
55177,53,51,2,202.9336398352403
52052,443,1697,4,274.48436747336086
60165,80,851,5,411.4617094459908
55143,443,1426,4,322.9039729452106
53850,22,419,3,14.499364355485028
61354,443,1522,4,109.76110495369215
58451,443,974,4,652.577688784384
56064,443,1729,6,220.3927281741311
65178,53,61,3,97.79678824233895
59787,80,998,2,1567.5629188741623
55282,443,1821,5,804.6944971771453
64957,443,1696,1,105.84240209170379
55662,53,62,2,443.50994811755874
59101,443,1792,4,23.455696690949946
60834,443,1288,3,312.55074409232066
54804,443,1368,3,25.755449509961267
50441,443,1823,3,45.41057017651559
64894,443,1411,4,156.91859006746068
64893,443,1531,4,675.3170986187424
52910,443,1267,2,710.6666367474223
56123,443,1618,4,102.8795468804324
52190,443,1736,6,89.30960510624854
57401,443,1315,6,182.92431514638264
53395,443,2084,5,263.0493375760573
53054,443,1750,5,339.8633068378574
65346,443,1749,5,158.2567611320771
57839,443,983,3,155.53177708274802
52039,443,1596,4,592.0767798766848
57662,443,1392,2,29.612647911972264
54888,443,1232,2,36.20331550582151
51126,22,605,1,68.7823946256674
53800,443,1802,4,21.059391859354733
51739,80,909,1,472.19569627343503
61800,443,1541,5,566.0579800575625
57633,443,802,2,35.065451549565225
60972,443,1599,3,488.4926894316693
52370,443,1244,2,511.1504236514999
52466,443,1344,3,412.20222850368276
57001,443,1584,3,190.8427896954531
57489,443,1427,4,524.1131849701175
58563,443,1534,3,188.8051133343222
59927,22,483,1,117.42952593290737
57465,80,882,3,107.87863508549663
59982,53,56,3,72.34351522569426
59516,443,1088,3,557.3645719933068
50459,443,1490,2,96.36829478123364
61344,443,1407,3,176.25939219012406
58596,80,625,2,101.00077962132559
50203,443,1244,2,59.448854426176794
58480,443,1687,5,293.1293436574596
62019,80,1076,4,570.3539322043994
63289,80,775,2,687.7499131377823
58194,443,1699,3,168.9291404181991
60210,443,1278,3,15.048332399096042
58615,53,59,1,57.890194836345316
58437,443,1139,3,292.2011913172817
62597,53,55,1,225.93849268039492
50740,443,1500,3,171.9537912434677
57018,53,67,1,304.6991911753486
62039,443,1510,3,236.320610740975
49900,443,1253,3,46.90921731119908
64724,443,2009,3,123.65724885524143
61145,443,1414,4,67.7786157471742
58891,53,71,1,217.8256991978694
58832,443,1336,3,1144.577835158651
52788,53,70,3,160.10811457721184
51343,443,1636,3,184.69452038830812
61497,443,1951,5,97.16546650678126
52206,443,1711,5,90.50158042646983
49385,80,836,2,12.774568587111464
58384,53,68,3,339.50282589486807
60738,80,708,4,206.6860347013858
58123,443,1665,4,394.68046519826385
53072,443,1570,2,246.07626408906503
53799,53,60,2,439.0611802395001
60526,443,1792,3,908.5684391799967
53907,443,1696,3,58.85390766467782
55710,443,1588,5,400.4651081685553
54980,443,1161,3,614.9655502074654
58717,443,1595,3,81.8273038022572
54685,53,73,2,71.68696493360929
54542,443,1533,2,85.29332101220064
55261,53,74,1,134.46869618953005
54742,443,1825,2,134.64320234646405
50979,443,1893,3,130.31852764554313
57442,443,1959,3,131.58112298065117
59746,443,1836,3,181.59437459169047
58701,443,2047,4,194.70687205218755
65391,443,1642,5,67.71606250875914
60278,443,1512,1,117.8048780567652
49515,80,627,3,23.458982676007555
56874,443,1064,3,240.4130665248919
49471,443,1765,2,167.43802781073867
60710,443,1366,3,551.0274280149692
62201,443,1366,3,153.46738962592718
54951,443,777,2,100.75919817237778
63922,443,1420,4,26.280522223137705
56906,80,586,3,273.43983199669424
53932,443,1742,3,624.6629692842421
55676,80,943,2,42.88166327897937
64508,443,1816,5,879.4544452504898
55530,443,1409,3,177.24136653374993
63974,443,1670,3,78.01372998890642
60072,443,1006,2,792.7591967862884
61781,53,51,2,344.46245347247276
62202,80,326,3,111.51043216786924
61671,443,1593,2,87.13721267764078
54227,443,1477,4,333.8503992214568
52042,443,1652,1,163.00605740223642
49709,80,668,2,657.1522583255294
54393,443,1329,3,144.48772077421359
59145,443,1083,4,253.68204607587822
59464,443,1510,1,173.50745229783666
52045,443,1434,4,231.22923159145793
57125,443,924,3,357.6354317611899
55737,443,2032,5,76.69974767510224
61263,443,1699,2,28.648209361117527
58267,443,1152,3,146.0251010029561
57710,443,1251,3,134.71212797475297
49397,80,615,3,100.38771599425404
61567,80,913,4,493.73165921990886
53703,80,857,3,647.4213248514958
54800,443,1349,5,646.8010593032768
60126,80,1119,2,464.1826129081425
63884,443,1533,4,104.46229816036566
65219,80,682,2,92.12233129824591
56249,80,726,3,1026.9047282505355
63276,80,970,4,389.6773566615378
61774,80,557,3,42.14329709156686
50826,53,72,2,170.03962598362943
65485,443,1560,2,414.4868418177383
57124,443,1534,3,220.11801428811816
55735,443,1855,3,98.94572263910581
59364,80,895,3,26.023780492548834
55682,443,1506,4,229.0105477627042
60705,443,1873,1,84.43475422624141
54030,443,1159,5,1106.9047856052237
59738,53,77,2,168.5038103231337
61773,80,463,1,160.93691733794006
49444,22,468,3,130.55904545801002
50536,443,1537,4,276.09723566892154
50965,443,972,4,123.59892102291415
57671,80,776,3,88.73370684496255
53136,443,1485,4,20.17418470100889
58545,80,94,1,706.5486643814207
56500,443,1310,2,192.93284664422558
51209,22,465,3,120.8008692547726
57844,80,606,2,61.06880561074967
61368,443,1534,4,43.41698127459556
53221,443,1564,4,72.7001251206338
55117,443,1209,2,51.130661368662615
63691,443,1979,4,348.82960400639746
65315,443,1981,5,217.97879049211042
62166,443,1955,4,842.1010116114741
62705,443,1294,4,123.47845225867881
56809,80,898,3,696.5615449643486
60155,443,1393,4,84.55946843882707
56804,443,1953,4,144.427462669897
50089,443,1339,6,345.69499624751415
62928,443,1641,2,68.44882062328816
57675,80,579,2,54.75318744744993
64103,80,899,2,126.0512547665516
64648,53,68,1,237.69105072742173
54842,443,1425,3,781.842461307206
64536,443,1525,2,198.27717799421254
54139,443,1203,3,71.63666249404173
59621,443,1349,4,55.43427785766801
51398,80,1105,3,34.583263699978566
53854,443,1401,4,91.87236057666156
54933,443,1843,5,135.30655394074282
59647,443,1664,3,1043.2665303619262
51705,443,1195,1,205.53615970702825
65120,80,849,2,67.20174875466094
58830,443,1821,4,108.19661016275434
58094,443,1479,4,264.80946944685644
56514,443,1832,3,2773.637232297713
58398,443,1821,3,147.80155020638804
50054,443,909,2,48.060526357405216
56468,443,1590,5,44.79016761627777
59699,80,668,3,569.396068040319
61982,443,1705,3,562.3420790604822
57518,53,55,1,274.57819841051463
63058,443,1414,4,474.48930470972243
58870,443,1512,5,260.9689362102638
50457,443,1656,5,167.8431307307712
54808,443,1310,3,1790.6295414843519
60315,443,1462,5,173.26417593627775
62742,53,61,2,231.0890963887362
61757,443,1412,4,143.07415695909302
59416,443,1682,3,1076.790582661489
62396,80,970,3,129.61056416081726
57032,443,1623,2,659.975665233611
54221,443,1337,4,364.1056774723389
49186,443,1628,5,174.28336172059048
56734,443,1199,4,121.69830032513752
52222,443,1397,1,44.26544989928715
63327,443,1024,3,323.2416097489631
49505,53,68,3,31.074826985126663
65104,443,1955,5,104.9988248206924
55029,443,1548,3,83.34370465810602
64386,443,1530,2,218.73892980069562
57379,443,1516,3,59.59508609061835
55257,443,885,3,694.6082140173502
59609,443,1686,4,223.62387588584917
57197,443,1051,4,363.877953409652
54791,443,1886,3,41.88862044234257
54631,443,1963,4,89.27984323074706
63293,53,59,1,228.22280903093724
50047,443,1671,2,604.7719078548582
56001,80,539,1,116.01301113603155
61018,80,805,1,126.7296463500835
58079,53,51,1,295.44195153722137
53961,443,1286,5,51.27958831811837
59992,22,445,3,189.72400077622797
52981,443,861,3,498.5458250117448
52767,80,947,2,85.21191360865119
50360,53,90,1,97.5621298909927
49684,80,930,2,1634.6557477831645
51794,443,1495,4,140.5500904005296
54462,443,1804,3,133.01127032143305
60284,443,1531,3,203.82458970714038
49613,53,75,4,217.4628361953463
52095,443,944,4,545.3276745035873
57626,443,1365,5,78.71216919454187
59677,80,846,1,66.42153074446887
52639,443,1598,3,155.3702021191364
61411,80,859,3,450.33772106660564
51623,443,1953,4,58.56180541767518
61644,443,1635,3,169.04413941217905
63934,80,907,2,330.65551341323453
57220,53,58,2,141.72778713642583
60920,443,1478,4,133.29117712486803
52204,53,63,2,72.54474806048216
64223,443,1993,3,383.33925527352363
60201,22,580,2,437.0759483430646
58923,443,1257,4,315.0856382985244
63157,22,572,3,41.40895965966471
64565,443,1152,4,193.4784373027981
49833,53,69,2,279.3380953965437
54276,443,1607,2,214.66913975113738
60293,53,67,1,1014.6940433568592
60249,443,1405,4,84.66852961981883
50662,53,47,1,675.8526033607765
60723,443,957,3,356.14845029820935
59587,443,1309,3,127.32691727444191
62937,443,1651,6,120.34642871213083
54660,443,1637,3,1596.647547562361
61495,443,1706,4,70.61777975946234
61867,443,1211,2,215.70234371222276
53310,443,1566,4,52.010438972254676
55079,443,1562,2,323.9060075813108
65381,443,2327,6,975.9192802757974
56175,443,1845,4,227.9766492224619
51124,22,478,2,1491.563442265551
64716,443,1201,4,200.44057202215612
57266,443,1656,4,205.68916323577753
49721,443,1662,3,446.593329518869
56214,443,1295,3,414.96024813924936
62749,443,1857,3,6758.168068131997
55646,53,50,2,229.14188658592158
52801,443,1475,1,337.5476610181564
53167,443,1834,3,62.98698556886342
63628,443,1785,4,46.525116644062535
52390,53,70,1,385.84580452252493
65164,443,1681,5,518.1354333162238
52344,443,1112,2,99.12401970601913
50728,443,1259,3,374.26109119191744
61209,22,506,3,65.85717900311154
63110,443,1414,4,166.7766483536037
52500,443,1029,2,751.0992160856031
